Etunimi,Lukumäärä
Mercedes,209
Jana,208
Sanna-Leena,208
Cindy,207
Milma,207
Seliina,207
Anni-Maria,206
Eija-Riitta,206
Ella-Maria,206
Minna-Mari,206
Suvituuli,204
Tindra,204
Yasmine,204
Katinka,202
Santra,202
Sina,202
Crista,200
Ulla-Britt,200
Alla,199
Annabel,199
Kiti,199
Marjaleena,199
Daniella,198
Nanni,198
Rosalia,198
Saskia,198
Ariel,197
Annaleena,196
Jasmi,196
Juliette,196
Bettiina,195
Li,195
Hille,194
Ihanelma,194
Inga-Britt,194
Anne-Marja,193
Marija,193
Mimi,193
Viia,193
Thanh,192
Liudmila,190
Tanya,190
Liv,189
Milaja,189
Nicolina,189
Riitta-Maija,189
Ida-Sofia,188
Ana,187
Mei,187
Sabine,187
Suvi-Päivikki,187
Serena,186
Katri-Helena,185
Thelma,185
Liana,184
Tatjaana,184
Thu,184
Alexa,183
Hilpi,183
Merike,183
Mina,183
Märtha,182
Iira,181
Kaisa-Leena,181
Saida,181
Tiitu,181
Jekaterina,179
Polina,179
Lisen,176
Ljudmila,176
Markit,176
Sarlotta,176
Ann-Maj,175
Elida,175
Elizaveta,175
Sesilia,175
Elsie,174
Ia,174
Tania,174
Cia,173
Desire,173
Dolores,173
Estrid,173
Jenita,173
Nia,173
Eelin,172
Elissa,172
Matintytär,172
Tiina-Liisa,172
Beda,171
Eedla,171
Tyyni,171
Katherine,170
Maria-Leena,170
Omar,170
Rina,170
Seelia,170
Tarja-Leena,170
Tuisku,170
Hussein,169
Raija-Leena,169
Ranja,169
Britt-Mari,168
Hannaleena,168
Joy,168
Nellie,167
Jennica,166
Mariette,166
Eevastiina,165
Sanna-Liisa,165
Sara-Sofia,165
Eufemia,164
Maari,164
Pepita,164
Wenla,164
Yulia,164
Ariana,163
Cornelia,163
Henna-Maria,163
Lisette,163
Marinka,163
Neelia,163
Pirjo-Leena,162
Vilina,161
Eva-Liisa,160
Mia-Maria,160
Anna-Stina,159
Antintytär,159
Ellida,159
Inge,159
Kaneli,159
Kaisa-Maria,158
Samantha,158
Anh,157
Halla,157
Kastanja,157
Mahamed,157
Pulmu,157
Helén,156
Irinja,156
Miia-Maria,156
Pälvi,156
Mohamud,155
Ragni,155
Rosalie,155
Francesca,154
Kata,154
Malva,154
Marilla,154
Anna-Elina,153
Celine,153
Fadumo,153
Ibrahim,153
Lola,153
Marikka,153
Mirette,153
Niia,153
Sivi,153
Tarja-Liisa,153
Abigail,152
Aino-Kaisa,152
Dorothea,152
Freya,152
Gisela,152
Phuong,152
Dorrit,151
Laura-Maria,151
Milla-Maria,151
Nova,151
Salla-Maria,151
Amélie,150
Dana,150
Jannina,150
Merika,150
Miitta,150
Adela,149
Ann-Lis,149
Janessa,149
Liliana,149
Marjaliisa,149
Tiia-Mari,149
Albertiina,148
Anna-Reetta,148
Hilkka-Liisa,148
Janiina,148
Jenni-Maria,148
Katrine,148
Virginia,148
Christiina,147
Elice,147
Enne,147
Linne,147
Vivia,147
Eleanora,146
Nilla,146
Nina-Maria,146
Aletta,145
Jennina,145
Renja,145
Tiina-Maija,145
Cesilia,144
Cilla,144
Hildur,144
Marttiina,144
Milda,144
Ofelia,144
Onneli,144
Saara-Maria,144
Abdirahman,143
Anna-Kristiina,143
Hanne-Mari,143
Inez,143
Leena-Kaisa,143
Moonika,143
Daisy,142
Fiina,142
Isadora,142
Therése,142
Ilana,141
Lauha,141
Liisa-Maria,141
Antoinette,140
Friida,140
Inge-Maj,140
Iréne,140
Mari-Ann,140
Nikita,140
Ulla-Maria,140
Lillian,139
Luisa,139
Marja-Sisko,139
Mohammed,139
Runa,139
Safia,139
Xenia,139
Aniita,138
Darja,138
Marielle,138
Ruska,138
Selene,138
Peppina,137
Suzanne,137
Alida,136
Enja,136
Gun-Maj,136
Oksana,136
Anna-Emilia,135
Anna-Marja,135
Annelie,135
Emeliina,135
Louisa,135
Madelene,135
Tuike,135
Anceliga,134
Dora,134
Mari-Anna,134
Marjetta,134
Menni,134
Timontytär,134
Alinda,133
Iida-Sofia,133
Iman,133
Maj-Gret,133
Mikontytär,133
Riikka-Liisa,133
Ulla-Maj,133
Juhantytär,132
Lee,132
Nadine,132
Suometar,132
Danielle,131
Eeva-Marja,131
Ellie,131
Irena,131
Kiara,131
Leia,131
Nur,131
Senna,131
Tilma,131
Alena,130
Alvina,130
Annariina,130
Nelma,130
Safira,129
Seija-Liisa,129
Zainab,129
Alyssa,128
Anisa,128
Eimi,128
Ewa,128
Greetta,128
Kate,128
Leah,128
Maarita,128
Manuela,128
Marlena,128
Maud,128
Nonna,128
Rafaela,128
Anja-Riitta,127
Celia,127
Evgenia,127
Jemiina,127
Linea,127
Majvor,127
Natalja,127
Satu-Maria,127
Suvi-Maria,127
Linda-Maria,126
Nanette,126
Nona,126
Oxana,126
Pirre,126
Ritva-Leena,126
Sylva,126
Tiina-Maria,126
Abdulkadir,125
Eliana,125
Emiilia,125
Emili,125
Farah,125
Juni,125
Mareena,125
Tyra,125
Ann-Katrin,123
Ensi,123
Hong,123
Kitty,123
Lynn,123
Ona,123
Raakeli,123
Yusuf,123
Alfhild,122
Ludmila,122
Lumikukka,122
Sarina,122
Sera,122
Adalia,121
Aline,121
Gloria,121
Hedda,121
Henna-Mari,121
Paola,121
Rhea,121
Ros-Mari,121
Taiga,121
Agda,120
Annastina,120
Fransiina,120
Kaisa-Liisa,120
Marlen,120
Mirikli,120
Pirkitta,120
Ringa,120
Yrsa,120
Arina,119
Carolin,119
Engla,119
Ghita,119
Henrica,119
Lioudmila,119
Norma,119
Tiina-Mari,119
Anna-Maaria,118
Anna-Stiina,118
Leyla,118
Lulu,118
Maijastiina,118
Nitta,118
Paloma,118
Adeline,117
Elinor,117
Heloisa,117
Merja-Riitta,117
Rauna,117
Sharon,117
Amal,116
Denice,116
Fredriika,116
Kaur,116
Oosa,116
Monna,115
Peggy,115
Vivi-Ann,115
Ainu,114
Mianna,114
Lise,113
Noelle,113
Sallamaari,113
Vilmiina,113
Anna-Karin,112
Charlott,112
Hilve,112
Jetta,112
Maritza,112
Mirja-Leena,112
Rigmor,112
Sirje,112
Tiuku,112
Violetta,112
Zara,112
Ea,111
Marja-Helena,111
Nanny,111
Renata,111
Sari-Anne,111
Sira,111
Tuula-Maija,111
Vendela,111
Arianna,110
Dorotea,110
Linh,110
Paju,110
Aurinko,109
Claire,109
Emilja,109
Gun-Lis,109
Jasmiini,109
Manda,109
Mariita,109
Marjanna,109
Ottiilia,109
Raini,109
Ulla-Mari,109
Florence,108
Milli,108
Rose-Maj,108
Sahra,108
Vanilla,108
Janine,107
Keiju,107
Mary-Ann,107
Mathilde,107
Merete,107
Riikka-Maria,107
Rinna,107
Rosina,107
Yolanda,107
Zaida,107
Helly,106
Henny,106
Katjaana,106
Liubov,106
Peppi-Lotta,106
Rania,106
Urpu,106
Anika,105
Anne-Riitta,105
Arja-Riitta,105
Catrin,105
